=== GROUPS ===
group,n_sheets,closest_to_mean,closest_rms_mm,group_mean_std_mm,group_max_std_mm
A_1,5,A_1_4,0.0527,0.1374,0.4964
A_1.5,5,A_1.5_2R,0.1094,0.1473,0.3257
B_1,5,b_1_4,0.0656,0.0890,2.1132
B_1.5,5,B_1.5_5R,0.1075,0.2810,1.9960
C_1,5,C_1_3,0.0512,0.0789,0.8647
C_1.5,5,C_1.5_5,0.1191,0.3920,1.3990

=== ALL SHEETS (deviation from group mean) ===
group,sheet,mean_dev_mm,std_dev_mm,rms_dev_mm,max_pos_mm,max_neg_mm,pct_pos,pct_neg,closest_to_mean
B_1.5,B_1.5_4,0.0139,0.5635,0.5637,0.7523,-3.0465,76.7,23.3,
B_1.5,B_1.5_5R,0.0409,0.0994,0.1075,0.3254,-1.4387,70.6,29.4,YES
C_1,C_1_1,-0.0591,0.0457,0.0747,0.4218,-1.2200,11.5,88.5,
C_1,C_1_2,0.0739,0.0619,0.0964,0.7299,-0.3814,84.6,15.3,
C_1,C_1_3,-0.0112,0.0500,0.0512,0.4334,-1.2830,45.7,54.3,YES
C_1,C_1_4R,0.0750,0.0315,0.0814,0.7598,-1.0335,99.1,0.9,
C_1,C_1_5R,-0.0786,0.0685,0.1042,0.7294,-0.7933,11.3,88.7,
C_1.5,C_1.5_1R,-0.0761,0.1255,0.1468,0.5038,-0.5528,20.4,79.6,
C_1.5,C_1.5_2,-0.3913,0.4979,0.6333,1.6170,-1.4421,13.8,86.2,
C_1.5,C_1.5_3,0.0042,0.1644,0.1644,0.8363,-0.6068,46.4,53.6,
C_1.5,C_1.5_4,0.4379,0.6488,0.7827,1.8665,-2.4571,83.7,16.3,
C_1.5,C_1.5_5,0.0262,0.1161,0.1191,0.3977,-0.9178,76.8,23.2,YES

=== MEAN SHEET COMPARISONS (cross-group) ===
comparison,mean_diff_mm,std_diff_mm,rms_diff_mm,max_pos_mm,max_neg_mm,pct_pos,pct_neg
A_1_vs_A_1.5_mean,-6.5351,8.8987,11.0406,10.8501,-27.9604,25.6,74.4
B_1_vs_B_1.5_mean,-2.4880,6.1454,6.6299,10.3236,-17.8170,36.3,63.7
C_1_vs_C_1.5_mean,1.7132,6.1677,6.4013,7.8097,-20.2284,76.7,23.3

=== CLOSEST-TO-MEAN SHEET COMPARISONS ===
comparison,sheet_a,sheet_b,alignment_rmse_mm,mean_diff_mm,std_diff_mm,rms_diff_mm,max_pos_mm,max_neg_mm,pct_pos,pct_neg
A_1_vs_A_1.5_closest,A_1_4,A_1.5_2R,16.7488,2.0260,3.2496,3.8294,10.9885,-5.8533,71.7,28.3
B_1_vs_B_1.5_closest,b_1_4,B_1.5_5R,18.9985,-0.7203,4.1517,4.2137,3.7696,-17.8165,68.2,31.8
C_1_vs_C_1.5_closest,C_1_3,C_1.5_5,13.4766,1.6099,1.8800,2.4752,5.4300,-4.5309,84.8,15.2

=== MEAN SHEET vs SIMULATED PLATE ===
group,sim_alignment_rmse,mean_diff_mm,std_diff_mm,rms_diff_mm,max_pos_mm,max_neg_mm,pct_pos,pct_neg,closest_sheet_to_sim
A_1,41.3762,-0.2103,1.7339,1.7466,3.9301,-8.2492,34.5,65.5,A_1_2
A_1.5,51.7794,1.7125,4.0806,4.4254,13.2552,-8.2103,60.1,39.9,A_1.5_1
B_1,1.4296,-0.6001,1.3378,1.4663,2.6752,-4.3617,40.2,59.8,B_1_3
B_1.5,13.8374,-1.4269,5.0327,5.2311,3.3369,-21.1650,70.8,29.2,B_1.5_1
C_1,2.7893,-1.0526,1.2868,1.6625,3.8199,-3.6039,21.6,78.4,C_1_4R
C_1.5,11.2133,0.5103,1.3882,1.4790,1.7915,-4.6155,81.8,18.2,C_1.5_2

=== ALL SHEETS vs SIMULATED PLATE ===
group,sheet,rms_dev_vs_sim_mm,closest_to_sim
A_1,A_1_1,1.8704,
A_1,A_1_2,1.6063,YES
A_1,A_1_3,1.8920,
A_1,A_1_4,1.7040,
A_1,A_1_5,1.6841,
A_1.5,A_1.5_1,4.2554,YES
A_1.5,A_1.5_2R,4.4992,
A_1.5,A_1.5_3,4.4832,
A_1.5,A_1.5_4,4.3608,
A_1.5,A_1.5_5,4.5373,
B_1,B_1_1R,1.5170,
B_1,B_1_2,1.5902,
B_1,B_1_3,1.3704,YES
B_1,b_1_4,1.4702,
B_1,B_1_5,1.3934,
B_1.5,B_1.5_1,4.9127,YES
B_1.5,B_1.5_2,4.9314,
B_1.5,B_1.5_3,5.4880,
B_1.5,B_1.5_4,5.6133,
B_1.5,B_1.5_5R,5.1965,
C_1,C_1_1,1.6964,
C_1,C_1_2,1.6115,
C_1,C_1_3,1.6843,
C_1,C_1_4R,1.6090,YES
C_1,C_1_5R,1.7188,
C_1.5,C_1.5_1R,1.4079,
C_1.5,C_1.5_2,1.0988,YES
C_1.5,C_1.5_3,1.4612,
C_1.5,C_1.5_4,2.0629,
C_1.5,C_1.5_5,1.5647,
